Category,Year 1 Q1,Year 1 Q2,Year 1 Q3,Year 1 Q4,Year 2,Year 3,Notes
REVENUE,,,,,,,"Enter your revenue projections"
Product Sales,5000,8000,12000,18000,80000,150000,"Main product/service revenue"
Subscription Revenue,2000,4000,6000,10000,50000,120000,"Recurring revenue streams"
Other Revenue,500,1000,1500,2000,8000,15000,"Additional revenue sources"
Total Revenue,7500,13000,19500,30000,138000,285000,"Sum of all revenue streams"
,,,,,,,"
COST OF GOODS SOLD,,,,,,,"Direct costs to deliver product/service"
Direct Materials,1500,2600,3900,6000,27600,57000,"Raw materials, hosting, etc."
Direct Labor,2000,3000,4000,5000,25000,50000,"Salaries directly tied to production"
Total COGS,3500,5600,7900,11000,52600,107000,"Total direct costs"
,,,,,,,"
GROSS PROFIT,4000,7400,11600,19000,85400,178000,"Revenue minus COGS"
Gross Margin %,53%,57%,59%,63%,62%,62%,"Gross profit as % of revenue"
,,,,,,,"
OPERATING EXPENSES,,,,,,,"Indirect costs to run business"
Salaries & Benefits,8000,10000,12000,15000,80000,150000,"Employee compensation"
Marketing & Advertising,2000,3000,4000,5000,25000,40000,"Customer acquisition costs"
Office Rent,1500,1500,1500,1500,6000,6000,"Office space costs"
Technology & Software,800,1000,1200,1500,6000,10000,"Software subscriptions, tools"
Legal & Professional,1000,500,500,1000,3000,5000,"Legal, accounting, consulting"
Insurance,300,300,300,300,1200,1500,"Business insurance"
Travel & Entertainment,500,800,1000,1200,5000,8000,"Business travel, client entertainment"
Other Operating Expenses,1000,1200,1500,2000,8000,12000,"Miscellaneous business expenses"
Total Operating Expenses,15100,18300,22000,27500,134200,232500,"Sum of all operating expenses"
,,,,,,,"
EBITDA,-11100,-10900,-10400,-8500,-48800,-54500,"Earnings before interest, taxes, depreciation, amortization"
EBITDA Margin %,-148%,-84%,-53%,-28%,-35%,-19%,"EBITDA as % of revenue"
,,,,,,,"
Depreciation & Amortization,500,500,500,500,2000,3000,"Asset depreciation"
Interest Expense,200,300,400,500,2000,3000,"Loan interest payments"
,,,,,,,"
NET INCOME,-11800,-11700,-11300,-9500,-52800,-60500,"Bottom line profit/loss"
Net Margin %,-157%,-90%,-58%,-32%,-38%,-21%,"Net income as % of revenue"
,,,,,,,"
CASH FLOW ANALYSIS,,,,,,,"
Starting Cash,50000,38200,26500,15200,5700,15000,"Cash at beginning of period"
Net Income,-11800,-11700,-11300,-9500,-52800,-60500,"From above"
Add: Depreciation,500,500,500,500,2000,3000,"Non-cash expense"
Operating Cash Flow,-11300,-11200,-10800,-9000,-50800,-57500,"Cash from operations"
,,,,,,,"
Capital Expenditures,-500,-500,-500,-500,-2000,-5000,"Equipment, technology purchases"
Investment in Inventory,0,0,0,0,-5000,-10000,"Inventory buildup"
Investing Cash Flow,-500,-500,-500,-500,-7000,-15000,"Cash used for investments"
,,,,,,,"
Debt Financing,0,0,0,0,10000,0,"New loans"
Equity Financing,0,0,0,15000,60000,0,"New investment"
Financing Cash Flow,0,0,0,15000,70000,0,"Cash from financing"
,,,,,,,"
Ending Cash,38200,26500,15200,5700,15000,15000,"Cash at end of period"
,,,,,,,"
KEY METRICS,,,,,,,"
Customer Acquisition Cost (CAC),40,38,33,28,25,20,"Cost to acquire one customer"
Customer Lifetime Value (LTV),200,220,250,300,400,500,"Revenue per customer over lifetime"
LTV/CAC Ratio,5.0,5.8,7.6,10.7,16.0,25.0,"Lifetime value to acquisition cost ratio"
Monthly Recurring Revenue (MRR),667,1333,2000,3333,16667,40000,"Monthly subscription revenue"
Annual Recurring Revenue (ARR),8000,16000,24000,40000,200000,480000,"Annualized subscription revenue"
Churn Rate %,5%,4%,3%,3%,2%,2%,"Monthly customer loss rate"
,,,,,,,"
ASSUMPTIONS,,,,,,,"
Average Selling Price,100,100,100,100,100,100,"Price per unit/customer"
Units Sold,75,130,195,300,1380,2850,"Number of units/customers"
Customer Growth Rate,20%,25%,30%,25%,20%,15%,"Monthly customer growth"
Price Increases,0%,0%,0%,0%,5%,5%,"Annual price increases"
,,,,,,,"
SCENARIOS,,,,,,,"
Best Case Revenue Multiplier,1.5,1.5,1.5,1.5,1.5,1.5,"Optimistic scenario"
Worst Case Revenue Multiplier,0.7,0.7,0.7,0.7,0.7,0.7,"Pessimistic scenario"
,,,,,,,"
FUNDING REQUIREMENTS,,,,,,,"
Cumulative Cash Need,11800,23500,34800,44300,97100,157600,"Total cash needed to date"
Recommended Funding,60000,60000,60000,60000,120000,180000,"Suggested funding amount"
Runway (Months),5.3,5.4,5.6,6.7,2.4,3.1,"Months of cash remaining"
